,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Country,ISO_A3,Continent,H2_Region,Is_Offshore,Offshore_Zone,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Gen. emissions per kg H2,NH3 Emissions per kg H2,LOHC Emissions per kg H2,LH2 Emissions per kg H2,H2Gas Emissions per kg H2,Transport Emissions per kg H2,Total Emissions per kg H2,Below RED3 Threshold,country_cap_kt,within_cap,cap_rank,Corridor
0,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,Ocean / International,CAN,North America,North America,,,3598.384492007377,1.7742043814814203,2.1444116112829645,2.9558198363485335,,1.7742043814814203,NH3,7343.492895910329,,0.5509999999999999,0.2667677937009131,0.284231017230403,0.316889265219252,,0.2667677937009131,0.8177677937009131,True,8522.5,True,15.0,D
1,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,Canada,CAN,North America,North America,,,3598.384492007377,1.7742043814814203,2.1444116112829645,2.9558198363485335,,1.7742043814814203,NH3,7370.25796783351,,0.5509999999999999,0.2667677937009131,0.284231017230403,0.316889265219252,,0.2667677937009131,0.8177677937009131,True,8522.5,True,16.0,D
2,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.16071533791597,422.9948,Canada,CAN,North America,North America,,,2340.402689217917,1.7640651196195982,2.12976889719275,2.8870126237240936,,1.7640651196195982,NH3,7313.414433506537,,2.217,0.2171477909132814,0.2542471492438942,0.4747572869850657,,0.2171477909132814,2.434147790913282,True,8522.5,True,199.0,D
3,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,Canada,CAN,North America,North America,,,2302.8698343499573,1.6197853168841625,2.045618302195287,2.80085311135952,,1.6197853168841625,NH3,7879.135368918738,,2.217,0.2148618119371915,0.2517414259326365,0.4722529824558603,,0.2148618119371915,2.431861811937192,True,8522.5,True,179.0,D
4,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,Canada,CAN,North America,North America,,,2302.8698343499573,1.7636853168841622,2.12921857575434,2.884486080099422,,1.7636853168841622,NH3,7382.907234584961,,0.5509999999999999,0.1878244538273565,0.1977414259326364,0.2311790830195836,,0.1878244538273565,0.7388244538273565,True,8522.5,True,192.0,D
5,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,Canada,CAN,North America,North America,,,2047.1358109546952,1.7609221227868763,2.1252115759313006,2.866194348911454,,1.7609221227868763,NH3,7549.548199105002,,2.217,0.199288799712139,0.2346684186658684,0.4552074979138716,,0.199288799712139,2.416288799712139,True,8522.5,True,99.0,D
6,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,Canada,CAN,North America,North America,,,2302.8698343499573,1.7832512079303369,2.1427804614302377,2.89804796577532,,1.7832512079303369,NH3,7352.50246238043,,2.217,0.2148618119371915,0.2517414259326365,0.4722529824558603,,0.2148618119371915,2.431861811937192,True,8522.5,True,184.0,D
7,-123.0,50.0,1134.4200146198273,100.82697,1934,-123.2597273115,49.1586226685,95.44510763341904,143.7982,Canada,CAN,North America,North America,,,1582.3066808755452,1.7260266796929913,2.1164443035234326,2.8267282982228337,,1.7260266796929913,NH3,7714.1780217913565,,2.217,0.1709951176587737,0.2036360553913858,0.4243046880310239,,0.1709951176587737,2.387995117658774,True,8522.5,True,202.0,D
8,-123.0,53.0,1251.584963798523,143.02011,1934,-123.2597273115,49.1586226685,427.73872276738234,718.795,Canada,CAN,North America,North America,,,1868.698293988948,1.775883301319654,2.1332026319542035,2.863234567361294,,1.775883301319654,NH3,7419.432027305218,,2.217,0.1884256189133977,0.2227557877872166,0.4433324846542446,,0.1884256189133977,2.405425618913398,True,8522.5,True,181.0,D
9,-122.0,56.0,1263.2649874687197,187.58942,1934,-123.2597273115,49.1586226685,766.0342703426022,1154.6808,Canada,CAN,North America,North America,,,3019.214570070164,1.9224770551521464,2.284851698671861,3.073756301738076,,1.9224770551521464,NH3,7095.769241191787,,2.217,0.2585093621776692,0.2995651715417972,0.5201658226782927,,0.2585093621776692,2.47550936217767,True,8522.5,True,197.0,D
10,-121.0,50.0,1335.5349707603457,87.76631,2586,-122.71542696864113,48.8319,179.90961052059174,241.1656,Canada,CAN,North America,North America,,,1715.964419325336,1.7567863449722254,2.119204660198672,2.8390804379819015,,1.7567863449722254,NH3,7646.301600470817,,2.217,0.1791291116537557,0.2125591525589695,0.4331800453002204,,0.1791291116537557,2.3961291116537557,True,8522.5,True,129.0,D
11,-121.0,52.0,1255.964994430542,116.29771,2586,-122.71542696864113,48.8319,372.8770218000093,513.7024,Canada,CAN,North America,North America,,,1715.964419325336,1.7567863449722254,2.119204660198672,2.8390804379819015,,1.7567863449722254,NH3,7451.692667680156,,2.217,0.1791291116537557,0.2125591525589695,0.4331800453002204,,0.1791291116537557,2.3961291116537557,True,8522.5,True,173.0,D
12,-121.0,55.0,1218.7349951267242,554.7777,1934,-123.2597273115,49.1586226685,668.0754811125216,1209.0413999999998,Canada,CAN,North America,North America,,,6186.93740557121,1.9003484818157372,2.270089958970384,3.156156551482376,,1.9003484818157372,NH3,7161.166196238053,,0.5509999999999999,0.4248725352055907,0.457044873270912,0.4905548492651821,,0.4248725352055907,0.9758725352055908,True,8522.5,True,33.0,D
13,-121.0,56.0,1325.679988861084,338.51837,1934,-123.2597273115,49.1586226685,776.4415009680994,1179.1603,Canada,CAN,North America,North America,,,1629.265217892439,1.912153162217555,2.268016417994707,2.981752499955601,,1.912153162217555,NH3,7064.740955796572,,0.5509999999999999,0.1468262993503159,0.1527710447568293,0.1869266150208217,,0.1468262993503159,0.6978262993503158,True,8522.5,True,66.0,D
